airport,year,X.month,carrier,arr_flights,arr_del15,carrier_ct,X.weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,X.arr_delay,X.carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Latitude,Longitude
ATL,2003,12,RU,168,60,14.42,0.14,36.5,0,8.93,1,0,3546,682,5,2565,0,294,33.636719,-84.428067
ATL,2016,4,F9,304,42,9.13,0,17.66,0,15.2,0,0,2051,264,0,562,0,1225,33.636719,-84.428067
ATL,2010,8,9E,965,241,40.81,4.32,114.34,0.26,81.28,11,3,12677,2837,235,4197,11,5397,33.636719,-84.428067
ATL,2014,5,UA,69,24,6.97,0,10.66,0,6.37,0,0,1000,344,0,277,0,379,33.636719,-84.428067
ATL,2010,7,YV,146,38,11.98,2.8,10.76,0,12.47,3,1,2356,603,195,523,0,1035,33.636719,-84.428067
ATL,2012,11,WN,843,129,47.27,3.43,17.61,1.06,59.63,1,3,6511,2334,114,518,36,3509,33.636719,-84.428067
ATL,2006,10,OH,663,267,75.02,45.34,138.4,0.74,7.5,15,0,15693,5478,2661,6968,25,561,33.636719,-84.428067
ATL,2015,7,EV,5478,1031,268.84,0,255.64,0,506.52,10,29,66595,25065,0,10465,0,31065,33.636719,-84.428067
ATL,2006,6,AA,708,183,38.58,10.63,86.84,0.21,46.74,2,3,11282,1740,906,5216,12,3408,33.636719,-84.428067
ATL,2009,10,EV,11107,3555,450.65,87.39,2015.47,3.25,998.24,55,8,200868,32101,6693,97472,98,64504,33.636719,-84.428067
ATL,2008,5,OH,806,209,65.41,37.22,95.19,0,11.18,8,0,10458,4267,2309,3255,0,627,33.636719,-84.428067
ATL,2013,6,UA,63,26,10.22,1.68,5.92,0,8.18,2,0,1767,620,239,349,0,559,33.636719,-84.428067
ATL,2007,8,CO,425,102,25.48,5.44,40.89,0,30.19,10,3,8761,2112,306,3052,0,3291,33.636719,-84.428067
ATL,2012,11,OO,146,14,8.64,0,0.88,0,4.47,0,0,674,332,0,36,0,306,33.636719,-84.428067
ATL,2014,4,AA,398,74,39.42,1.23,15.73,0,17.62,2,1,3557,1941,46,623,0,947,33.636719,-84.428067
ATL,2008,5,FL,7799,994,110.23,6.26,398.52,0,478.99,44,13,50350,6083,299,14410,0,29558,33.636719,-84.428067
ATL,2009,12,OH,488,248,50.9,16.74,139.21,1,40.14,12,1,14450,4452,1599,6187,148,2064,33.636719,-84.428067
ATL,2003,12,B6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.636719,-84.428067
ATL,2015,10,F9,533,102,26.24,0,53.56,0,22.2,3,1,5458,1569,0,2186,0,1703,33.636719,-84.428067
ATL,2008,10,MQ,58,9,5.71,0,2.19,0,1.1,1,0,494,293,0,158,0,43,33.636719,-84.428067
ATL,2009,9,UA,87,14,1.82,0,6.94,0,5.24,0,1,1449,308,0,553,0,588,33.636719,-84.428067
ATL,2015,4,NK,256,74,20.79,0.94,36.09,0.23,15.96,1,0,3707,945,15,1612,7,1128,33.636719,-84.428067
ATL,2014,8,MQ,114,18,4.99,4.69,5.34,0,2.98,4,1,932,316,130,288,0,198,33.636719,-84.428067
ATL,2004,1,OH,3048,917,257.25,277.86,342.93,1.26,37.7,104,1,48906,16301,17498,12939,29,2139,33.636719,-84.428067
ATL,2003,7,DL,15993,3319,565.79,76.02,2027,2.6,647.6,148,40,179469,39786,4717,89420,123,45423,33.636719,-84.428067
ATL,2005,6,FL,5758,2049,150.78,10.41,1250.95,0,636.86,44,11,135075,8583,648,73005,0,52839,33.636719,-84.428067
ATL,2007,1,DL,12567,2060,441.76,52.74,983.25,5.71,576.53,228,31,107712,29964,3954,39839,426,33529,33.636719,-84.428067
ATL,2013,5,UA,33,16,4.77,0,4.76,0,6.47,1,0,980,247,0,190,0,543,33.636719,-84.428067
ATL,2015,10,MQ,31,2,1.59,0,0.41,0,0,0,0,137,106,0,31,0,0,33.636719,-84.428067
ATL,2012,9,F9,78,19,5.08,1,5.2,0,7.72,0,0,814,166,36,135,0,477,33.636719,-84.428067
